id,filepath,category,traditional,region,occasion,price_range
img_001,seed_data/images/01_traditional_clothing/image_001_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_002,seed_data/images/01_traditional_clothing/image_002_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_003,seed_data/images/01_traditional_clothing/image_003_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_004,seed_data/images/01_traditional_clothing/image_004_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_005,seed_data/images/01_traditional_clothing/image_005_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_006,seed_data/images/01_traditional_clothing/image_006_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_007,seed_data/images/01_traditional_clothing/image_007_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_008,seed_data/images/01_traditional_clothing/image_008_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_009,seed_data/images/01_traditional_clothing/image_009_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_010,seed_data/images/01_traditional_clothing/image_010_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_011,seed_data/images/01_traditional_clothing/image_011_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_012,seed_data/images/01_traditional_clothing/image_012_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_013,seed_data/images/01_traditional_clothing/image_013_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_014,seed_data/images/01_traditional_clothing/image_014_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_015,seed_data/images/01_traditional_clothing/image_015_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_016,seed_data/images/01_traditional_clothing/image_016_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_017,seed_data/images/01_traditional_clothing/image_017_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_018,seed_data/images/01_traditional_clothing/image_018_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_019,seed_data/images/01_traditional_clothing/image_019_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_020,seed_data/images/01_traditional_clothing/image_020_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_021,seed_data/images/01_traditional_clothing/image_021_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_022,seed_data/images/01_traditional_clothing/image_022_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_023,seed_data/images/01_traditional_clothing/image_023_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_024,seed_data/images/01_traditional_clothing/image_024_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_025,seed_data/images/01_traditional_clothing/image_025_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_026,seed_data/images/01_traditional_clothing/image_026_1.jpg,clothing,True,Unknown,Unknown,Unknown
img_027,seed_data/images/01_traditional_clothing/image_027_1.jpg,clothing,True,Unknown,Unknown,Unknown
