id,filepath,category,traditional,region,occasion,price_range
img_0001,seed_data/images/01_traditional_clothing/image_001_1.jpg,Traditional Clothing,True,Northwest,Wedding,mid-range
img_0002,seed_data/images/01_traditional_clothing/image_002_1.jpg,Traditional Clothing,True,West,Traditional Ceremony,premium
img_0003,seed_data/images/01_traditional_clothing/image_003_1.jpg,Traditional Clothing,True,Littoral,Funeral,mid-range
img_0004,seed_data/images/01_traditional_clothing/image_004_1.jpg,Traditional Clothing,True,Southwest,Graduation,mid-range
img_0005,seed_data/images/01_traditional_clothing/image_005_1.jpg,Traditional Clothing,True,Centre,Cultural Festival,premium
img_0006,seed_data/images/01_traditional_clothing/image_006_1.jpg,Traditional Clothing,True,Northwest,Wedding,mid-range
img_0007,seed_data/images/01_traditional_clothing/image_007_1.jpg,Traditional Clothing,True,West,Traditional Ceremony,premium
img_0008,seed_data/images/01_traditional_clothing/image_008_1.jpg,Traditional Clothing,True,Littoral,Funeral,mid-range
img_0009,seed_data/images/01_traditional_clothing/image_009_1.jpg,Traditional Clothing,True,Southwest,Graduation,mid-range
img_0010,seed_data/images/01_traditional_clothing/image_010_1.jpg,Traditional Clothing,True,Centre,Cultural Festival,premium
img_0011,seed_data/images/01_traditional_clothing/image_011_1.jpg,Traditional Clothing,True,Northwest,Wedding,mid-range
img_0012,seed_data/images/01_traditional_clothing/image_012_1.jpg,Traditional Clothing,True,West,Traditional Ceremony,premium
img_0013,seed_data/images/01_traditional_clothing/image_013_1.jpg,Traditional Clothing,True,Littoral,Funeral,mid-range
img_0014,seed_data/images/01_traditional_clothing/image_014_1.jpg,Traditional Clothing,True,Southwest,Graduation,mid-range
img_0015,seed_data/images/01_traditional_clothing/image_015_1.jpg,Traditional Clothing,True,Centre,Cultural Festival,premium
img_0016,seed_data/images/01_traditional_clothing/image_016_1.jpg,Traditional Clothing,True,Northwest,Wedding,mid-range
img_0017,seed_data/images/01_traditional_clothing/image_017_1.jpg,Traditional Clothing,True,West,Traditional Ceremony,premium
img_0018,seed_data/images/01_traditional_clothing/image_018_1.jpg,Traditional Clothing,True,Littoral,Funeral,mid-range
img_0019,seed_data/images/01_traditional_clothing/image_019_1.jpg,Traditional Clothing,True,Southwest,Graduation,mid-range
img_0020,seed_data/images/01_traditional_clothing/image_020_1.jpg,Traditional Clothing,True,Centre,Cultural Festival,premium
img_0021,seed_data/images/01_traditional_clothing/image_021_1.jpg,Traditional Clothing,True,Northwest,Wedding,mid-range
img_0022,seed_data/images/01_traditional_clothing/image_022_1.jpg,Traditional Clothing,True,West,Traditional Ceremony,premium
img_0023,seed_data/images/01_traditional_clothing/image_023_1.jpg,Traditional Clothing,True,Littoral,Funeral,mid-range
img_0024,seed_data/images/01_traditional_clothing/image_024_1.jpg,Traditional Clothing,True,Southwest,Graduation,mid-range
img_0025,seed_data/images/01_traditional_clothing/image_025_1.jpg,Traditional Clothing,True,Centre,Cultural Festival,premium
img_0026,seed_data/images/01_traditional_clothing/image_026_1.jpg,Traditional Clothing,True,Northwest,Wedding,mid-range
img_0027,seed_data/images/01_traditional_clothing/image_027_1.jpg,Traditional Clothing,True,West,Traditional Ceremony,premium
img_0028,seed_data/images/01_traditional_clothing/image_028_1.jpg,Traditional Clothing,True,Littoral,Funeral,mid-range
img_0029,seed_data/images/01_traditional_clothing/image_029_1.jpg,Traditional Clothing,True,Southwest,Graduation,mid-range
img_0030,seed_data/images/01_traditional_clothing/image_030_1.jpg,Traditional Clothing,True,Centre,Cultural Festival,premium
img_0031,seed_data/images/01_traditional_clothing/image_031_1.jpg,Traditional Clothing,True,Northwest,Wedding,mid-range
img_0032,seed_data/images/01_traditional_clothing/image_032_1.jpg,Traditional Clothing,True,West,Traditional Ceremony,premium
img_0033,seed_data/images/01_traditional_clothing/image_033_1.jpg,Traditional Clothing,True,Littoral,Funeral,mid-range
img_0034,seed_data/images/01_traditional_clothing/image_034_1.jpg,Traditional Clothing,True,Southwest,Graduation,mid-range
img_0035,seed_data/images/01_traditional_clothing/image_035_1.jpg,Traditional Clothing,True,Centre,Cultural Festival,premium
img_0036,seed_data/images/01_traditional_clothing/image_036_1.jpg,Traditional Clothing,True,Northwest,Wedding,mid-range
